index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.zeit.de/news/2025-07/01/ukraine-un-generalsekretaer-fuer-bedingungslose-waffenruhe,https://www.zeit.de/news/2025-07/01/ukraine-un-generalsekretaer-fuer-bedingungslose-waffenruhe,0,www.zeit.de,Die Lage im Überblick: Ukraine: UN-Generalsekretär für bedingungslose Waffenruhe,Hier finden Sie Informationen zu dem Thema „Die Lage im Überblick“. Lesen Sie jetzt „Ukraine: UN-Generalsekretär für bedingungslose Waffenruhe“.,https://img.zeit.de/news/2025-07/01/ukraine-un-generalsekretaer-fuer-bedingungslose-waffenruhe-image-group/wide__1300x731,2025-07-01T02:56:36Z,,Angesichts der unvermindert heftigen Angriffe Russlands auf die Ukraine mahnt UN-Generalsekretär António Guterres eine sofortige und bedingungslose Waffenruhe an. Dies sei ein erster Schritt hin zu e… [+4830 chars],,de,'Ukraine'
https://www.zeit.de/politik/ausland/2025-06/krieg-ukraine-hilfen-johann-wadephul-russland-5vor8,https://www.zeit.de/politik/ausland/2025-06/krieg-ukraine-hilfen-johann-wadephul-russland-5vor8,0,www.zeit.de,"Krieg in der Ukraine: Was, wenn Putin die Nato testet?","Russland ist eine reale Gefahr für Deutschland, warnt Außenminister Johann Wadephul. Gemessen daran ist das Handeln der Bundesregierung kurzsichtig.",https://img.zeit.de/politik/ausland/2025-06/krieg-ukraine-hilfen-johann-wadephul-russland-5vor8-bild/wide__1300x731,2025-07-01T06:00:46Z,,"Kann es sein, dass Bundeskanzler Friedrich Merz und sein Außenminister Johann Wadephul ein wenig übertreiben mit ihren Warnungen vor Russland? Einen Tag vor seiner Reise in die ukrainische Hauptstadt… [+632 chars]",,de,'Putin'
https://www.diepresse.com/19849606/die-notenbank-bremst-russlands-wirtschaft-aus,https://www.diepresse.com/19849606/die-notenbank-bremst-russlands-wirtschaft-aus,0,www.diepresse.com,Die Notenbank bremst Russlands Wirtschaft aus [premium],"Um die Inflation in den Griff zu bekommen, legt Russlands Zentralbank eine Vollbremsung hin – und hemmt das zuletzt kräftige Wirtschaftswachstum in dem Land. Für die Ukraine trübt sich der Ausblick weiter ein.",https://img.diepresse.com/public/incoming/ni54x9-RUSSIA-AGRICULTURESEEDS/alternates/DPR_SOCIAL_MAGAZIN/RUSSIA-AGRICULTURESEEDS,2025-07-01T06:03:15Z,,"Um die Inflation in den Griff zu bekommen, legt Russlands Zentralbank eine Vollbremsung hin und hemmt das zuletzt kräftige Wirtschaftswachstum in dem Land. Für die Ukraine trübt sich der Ausblick wei… [+679 chars]",,de,'Inflation'
https://www.stern.de/wirtschaft/news/prognose--institut--konjunktur-in-russland-und-ukraine-truebt-sich-ein-35854638.html,https://www.stern.de/wirtschaft/news/prognose--institut--konjunktur-in-russland-und-ukraine-truebt-sich-ein-35854638.html,0,www.stern.de,Prognose: Institut: Konjunktur in Russland und Ukraine trübt sich ein,Der Rubel rollt - oder eben auch nicht. Die hohen Zinsen machen laut Experten der russischen Wirtschaft zunehmend zu schaffen. In Kiew sieht es nicht besser aus.,https://image.stern.de/35854640/t/j_/v1/w1440/r1.7778/-/01--e3iu5rhnedv3axs2048jpeg---a3b2eaa5e880885d.jpg,2025-07-01T06:15:37Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Der Rubel rollt - oder eben auch nicht. Die hohen Zinsen machen laut Experten der russischen Wirtschaft zunehmend zu schaffen. In Kiew sieht es n… [+2170 chars]",,de,'Russland'
https://www.zeit.de/news/2025-07/01/institut-konjunktur-in-russland-und-ukraine-truebt-sich-ein,https://www.zeit.de/news/2025-07/01/institut-konjunktur-in-russland-und-ukraine-truebt-sich-ein,0,www.zeit.de,Prognose: Institut: Konjunktur in Russland und Ukraine trübt sich ein,Hier finden Sie Informationen zu dem Thema „Prognose“. Lesen Sie jetzt „Institut: Konjunktur in Russland und Ukraine trübt sich ein“.,https://img.zeit.de/news/2025-07/01/institut-konjunktur-in-russland-und-ukraine-truebt-sich-ein-image-group/wide__1300x731,2025-07-01T06:15:37Z,,Für die Kriegsgegner Russland und Ukraine trüben sich laut einer neuen Prognose die Konjunkturaussichten weiter ein. In Russland dürfte sich das Wachstum für 2025 im Vergleich zum Vorjahr auf zwei Pr… [+1992 chars],,de,'Russland'
https://www.tagesspiegel.de/wirtschaft/prognose-institut-konjunktur-in-russland-und-ukraine-trubt-sich-ein-13944895.html,https://www.tagesspiegel.de/wirtschaft/prognose-institut-konjunktur-in-russland-und-ukraine-trubt-sich-ein-13944895.html,0,www.tagesspiegel.de,Prognose: Institut: Konjunktur in Russland und Ukraine trübt sich ein,Der Rubel rollt - oder eben auch nicht. Die hohen Zinsen machen laut Experten der russischen Wirtschaft zunehmend zu schaffen. In Kiew sieht es nicht besser aus.,https://www.tagesspiegel.de/images/13944892/alternates/BASE_16_9_W1400/1751350597000/ukraine-krieg-kiew.jpeg,2025-07-01T06:16:37Z,,Für die Kriegsgegner Russland und Ukraine trüben sich laut einer neuen Prognose die Konjunkturaussichten weiter ein. In Russland dürfte sich das Wachstum für 2025 im Vergleich zum Vorjahr auf zwei Pr… [+2713 chars],,de,'Ukraine'
https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/verbraucherpreise--inflation-faellt-leicht---kaffee-und-obst-deutlich-teurer-35851924.html,https://www.stern.de/gesellschaft/regional/nordrhein-westfalen/verbraucherpreise--inflation-faellt-leicht---kaffee-und-obst-deutlich-teurer-35851924.html,0,www.stern.de,Verbraucherpreise: Inflation fällt leicht - Kaffee und Obst deutlich teurer,Der Preisdruck auf Verbraucherinnen und Verbraucher in NRW hat im Juni im Vergleich zum Mai etwas nachgelassen. Einige Produkte weisen trotzdem hohe Preissteigerungen auf.,https://image.stern.de/35854664/t/cD/v1/w1440/r1.7778/-/01--ytnk25lk4bv6axs2048jpeg---9e971fcef31fa382.jpg,2025-07-01T06:28:59Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Der Preisdruck auf Verbraucherinnen und Verbraucher in NRW hat im Juni im Vergleich zum Mai etwas nachgelassen. Einige Produkte weisen trotzdem h… [+1271 chars]",,de,'Inflation'
https://orf.at/stories/3398309/,https://orf.at/stories/3398309/,0,orf.at,"Schnellschätzung: Inflation stieg im Juni auf 3,3 Prozent",,https://orf.at/mojo/1_4_1/storyserver//news/common/images/og-fallback-news.png,2025-07-01T07:19:59Z,,"Die Inflation ist im Juni laut Schnellschätzung der Statistik Austria auf 3,3 Prozent gestiegen. Das ist der höchste Wert seit Mai 2024, schreibt die Statistik heute in einer Aussendung. Im Mai lag d… [+359 chars]",,de,'Inflation'
https://www.diepresse.com/19854020/inflation-im-juni-auf-33-prozent-gestiegen,https://www.diepresse.com/19854020/inflation-im-juni-auf-33-prozent-gestiegen,0,www.diepresse.com,"Inflation im Juni auf 3,3 Prozent gestiegen",Die Inflation stieg auf den höchsten Wert seit Mai 2024.,https://img.diepresse.com/public/incoming/z8sx9p-Supermarkt/alternates/DPR_SOCIAL_NACHRICHTEN/Supermarkt,2025-07-01T07:29:47Z,,"Die Inflation stieg auf den höchsten Wert seit Mai 2024.
Die Inflation ist im Juni laut Schnellschätzung der Statistik Austria auf 3,3 Prozent gestiegen. Das ist der höchste Wert seit Mai 2024, schr… [+463 chars]",,de,'Inflation'
https://www.faz.net/aktuell/wirtschaft/unternehmen/doener-inflation-warum-der-kebab-zum-luxus-snack-wird-110567814.html,https://www.faz.net/aktuell/wirtschaft/unternehmen/doener-inflation-warum-der-kebab-zum-luxus-snack-wird-110567814.html,0,www.faz.net,Döner-Inflation: Warum der Kebab zum Luxus-Snack wird,Fleischpreise und  Energiekosten treiben den Dönerpreis hoch. Auch prominente  Investoren wie Lukas  Podolski sind betroffen.,https://media0.faz.net/ppmedia/aktuell/gesellschaft/3217461890/1.10567812/facebook_teaser_fplus/spiel-spass-spiess-der.jpg,2025-07-01T08:20:15Z,,"Döner Kebab ist ein beliebtes Fast Food sowohl in der Türkei als auch in Deutschland. Rund um den Drehspieß ist ein Industriezweig entstanden, der die unzähligen Imbisse und Restaurants mit der Ware … [+539 chars]",,de,'Energiekosten'
