,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.10092250922509226,0.1027060270602706,de,271
Ukraine,Ukraine,LOC,0.023593750000000004,0.039375,de,160
Russland,Russland,LOC,-0.07483870967741935,0.054838709677419356,de,155
Berlin,Berlin,LOC,0.015942028985507242,0.011594202898550725,de,69
Europa,Europa,LOC,-0.020754716981132067,0.009433962264150943,de,53
Washington,Washington,LOC,0.0,0.0,de,51
Br\u00fcssel,Br\u00fcssel,LOC,0.0,0.0,de,49
Kiew,Kiew,LOC,-0.02567567567567567,0.0,de,37
Gaspreisbremse,Gaspreisbremse,LOC,0.1129032258064516,0.0,de,31
Russlands,Russlands,LOC,-0.11,0.03333333333333333,de,30
USA,USA,LOC,-0.06399999999999997,0.084,de,25
Moskau,Moskau,LOC,-0.09599999999999997,0.0,de,25
Brüssel,Brüssel,LOC,-0.0020000000000000018,0.08,de,25
Frankreich,Frankreich,LOC,0.10909090909090911,0.0,de,22
Bund,Bund,LOC,-0.045454545454545456,0.0,de,22
Deutschlands,Deutschlands,LOC,0.18250000000000002,0.1,de,20
Cherson,Cherson,LOC,-0.09736842105263153,0.05263157894736842,de,19
Spanien,Spanien,LOC,0.1722222222222222,0.0,de,18
Europas,Europas,LOC,-0.10588235294117647,0.3235294117647059,de,17
Kreml,Kreml,LOC,-0.35882352941176476,0.0,de,17
Libanon,Libanon,LOC,0.04666666666666666,0.2,de,15
Israel,Israel,LOC,0.31428571428571433,0.0,de,14
China,China,LOC,-0.1673076923076923,0.19230769230769232,de,13
Staaten,Staaten,LOC,0.012500000000000002,0.125,de,12
Polen,Polen,LOC,0.08333333333333333,0.0,de,12
Deutschland.,Deutschland.,LOC,0.31666666666666665,0.0,de,12
Großbritannien,Großbritannien,LOC,-0.2833333333333333,0.08333333333333333,de,12
Ostsee,Ostsee,LOC,-0.06363636363636363,0.09090909090909091,de-DE,11
Paris,Paris,LOC,-0.06000000000000001,0.1,de,10
Italien,Italien,LOC,0.16999999999999998,0.0,de,10
Selenskyj,Selenskyj,LOC,-0.053333333333333344,0.0,de,10
EU-Gipfel,EU-Gipfel,LOC,0.2777777777777778,0.16666666666666666,de,9
Ukraine-Kriegs,Ukraine-Kriegs,LOC,-0.38333333333333336,0.1111111111111111,de,9
Wilhelmshaven,Wilhelmshaven,LOC,-0.25555555555555554,0.0,de,9
Luxemburg,Luxemburg,LOC,0.0,0.0,de,9
Bundesrepublik,Bundesrepublik,LOC,-0.4625,0.0,de,8
Krim,Krim,LOC,-0.23125,0.1,de,8
Katar,Katar,LOC,0.0875,0.375,de,8
Norwegen,Norwegen,LOC,-0.0875,0.1,de,8
Hamburg,Hamburg,LOC,0.05714285714285713,0.0,de,7
Sachsen-Anhalt,Sachsen-Anhalt,LOC,-0.5714285714285714,0.0,de,7
Prag,Prag,LOC,-0.34285714285714286,0.0,de,7
Straße,Straße,LOC,0.14999999999999997,0.07142857142857142,de,7
Düsseldorf,Düsseldorf,LOC,0.12857142857142856,0.07142857142857142,de,7
Niedersachsen,Niedersachsen,LOC,-0.2857142857142857,0.0,de,7
Schweiz,Schweiz,LOC,-0.11785714285714287,0.0,de,7
Türkei,Türkei,LOC,0.0,0.0,de,7
Österreich,Österreich,LOC,-0.05000000000000001,0.0,de,6
Schweden,Schweden,LOC,-0.11666666666666665,0.0,de,6
Pyrenäen,Pyrenäen,LOC,0.0,0.0,de,6
Nord-Stream-Pipelines,Nord-Stream-Pipelines,LOC,-0.21666666666666667,0.0,de,6
Mittelmeer,Mittelmeer,LOC,0.11666666666666665,0.0,de,6
Ägypten,Ägypten,LOC,-0.16666666666666666,0.0,de,6
Landes,Landes,LOC,0.11666666666666665,0.0,de,6
Scholz,Scholz,LOC,0.16666666666666666,0.0,de,6
US-Präsident,US-Präsident,LOC,0.0,0.3333333333333333,de,6
Iran,Iran,LOC,0.05000000000000001,0.0,de,6
Ukraine-Krieg,Ukraine-Krieg,LOC,-0.15833333333333335,0.08333333333333333,de,6
Stadt,Stadt,LOC,-0.016666666666666673,0.1,de,5
Qualitätsartikel,Qualitätsartikel,LOC,-1.0,0.0,de,5
Japan,Japan,LOC,0.030000000000000006,0.0,de,5
den USA,den USA,LOC,0.33999999999999997,0.0,de,5
Spaniens,Spaniens,LOC,-0.2,0.0,de,5
Bonn,Bonn,LOC,0.4,0.0,de,5
Nordsee,Nordsee,LOC,0.13999999999999999,0.0,de,5
Lauterbach,Lauterbach,LOC,-0.68,0.0,de,5
Sachsens,Sachsens,LOC,0.0,0.0,de,5
Lubmin,Lubmin,LOC,-0.16999999999999998,0.0,de,5
