,phrase,label,sentiment,subjectivity,language,count
Some of the information stored on your device,Some of the information stored on your device,MISC,,,de,1649
We collect personal data and also transmit it to third-party,We collect personal data and also transmit it to third-party,MISC,,,de,1537
Ukraine-Krieg,Ukraine-Krieg,MISC,-2.691984126984125,2.5666666666666664,de,1380
russischen,russischen,MISC,,,de-DE,1081
nan When browsing with ads,nan When browsing with ads,MISC,,,de,868
russische,russische,MISC,,,de-DE,847
ukrainische,ukrainische,MISC,,,de,755
When browsing with ads,When browsing with ads,MISC,,,de,657
ukrainischen,ukrainischen,MISC,,,de,516
Krieg,Krieg,MISC,,,de,458
deutsche,deutsche,MISC,,,de,358
Krieg in der Ukraine,Krieg in der Ukraine,MISC,,,de,357
deutschen,deutschen,MISC,,,de,355
russischer,russischer,MISC,,,de,282
Ukrainer,Ukrainer,MISC,0.0722222222222223,1.6916666666666667,de,151
Deutschen,Deutschen,MISC,,,de,144
Deutsche,Deutsche,MISC,,,de,136
russisches,russisches,MISC,,,de,130
Russen,Russen,MISC,-0.29285714285714287,0.2246031746031746,de,130
Krieg gegen die,Krieg gegen die,MISC,,,de,121
Krieges,Krieges,MISC,,,de,114
ukrainischer,ukrainischer,MISC,,,de,109
russischem,russischem,MISC,,,de,104
Videos,Videos,MISC,,,de,104
ePaper,ePaper,MISC,,,de,101
Weihnachten,Weihnachten,MISC,,,de,89
Münchner Sicherheitskonferenz,Münchner Sicherheitskonferenz,MISC,,,de,82
Audioinhalten,Audioinhalten,MISC,,,de,80
Waffenruhe,Waffenruhe,MISC,-0.22500000000000006,0.045454545454545456,de,79
deutscher,deutscher,MISC,,,de,79
europäischen,europäischen,MISC,,,de,77
europäische,europäische,MISC,,,de,76
Ukrainische,Ukrainische,MISC,,,de,75
Russlands Krieg,Russlands Krieg,MISC,-3.625,3.0,de,67
Russische,Russische,MISC,,,de,65
Gaspreisbremse,Gaspreisbremse,MISC,0.04440298507462687,0.011940298507462687,de,64
Ukrainekrieg,Ukrainekrieg,MISC,,,de,64
Zeit,Zeit,MISC,,,de,62
Berliner,Berliner,MISC,,,de,61
Nacht When browsing with ads,Nacht When browsing with ads,MISC,,,de,60
britischen,britischen,MISC,,,de,59
Skript,Skript,MISC,,,de,58
britische,britische,MISC,,,de,57
Kriegs,Kriegs,MISC,,,de,54
Russischer,Russischer,MISC,,,de,54
Mehr</li><li,Mehr</li><li,MISC,,,de,52
Twitter</li><li,Twitter</li><li,MISC,,,de,52
Ukrainischer,Ukrainischer,MISC,-0.4000000000000001,0.16666666666666666,de,48
chinesische,chinesische,MISC,,,de,47
Frieden,Frieden,MISC,2.6624999999999996,0.0,de,46
Windkraft,Windkraft,MISC,,,de,45
Ukraine-Krieges,Ukraine-Krieges,MISC,,,de,45
chinesischen,chinesischen,MISC,,,de,43
Schweizer,Schweizer,MISC,,,de,42
Russische Invasion: Krieg gegen die,Russische Invasion: Krieg gegen die,MISC,,,de,42
We use cookies and data to<,We use cookies and data to<,MISC,,,de,41
Tag When browsing with ads,Tag When browsing with ads,MISC,,,de,41
französische,französische,MISC,,,de,41
polnische,polnische,MISC,,,de,40
Ukraine-Liveblog,Ukraine-Liveblog,MISC,0.5706666666666667,0.49333333333333335,de,40
Kriegsbeginn,Kriegsbeginn,MISC,,,de,39
britischer,britischer,MISC,,,de,39
Krieg gegen die Ukraine,Krieg gegen die Ukraine,MISC,,,de,38
Leopard-Panzer,Leopard-Panzer,MISC,0.48750000000000004,1.375,de,38
iranische,iranische,MISC,,,de,35
Tag,Tag,MISC,,,de,35
G7,G7,MISC,-0.39999999999999997,0.0,de,34
Print-Magazin,Print-Magazin,MISC,,,de,34
Dax,Dax,MISC,0.7083333333333334,0.6666666666666666,de,34
Ampel-Koalition,Ampel-Koalition,MISC,-2.220446049250313e-16,0.0,de,34
Münchner,Münchner,MISC,,,de,33
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,32
Melnyk,Melnyk,MISC,0.3999999999999999,2.0,de,32
Krieg gegen,Krieg gegen,MISC,,,de,32
sozialen,sozialen,MISC,,,de,32
Amazon,Amazon,MISC,,,de,32
Russland-Ukraine-Krieg,Russland-Ukraine-Krieg,MISC,0.0,0.0,de,32
Tages,Tages,MISC,,,de,32
Google,Google,MISC,,,de,30
Internet,Internet,MISC,,,de,30
Twitter,Twitter,MISC,-2.425,0.0,de,29
Angriffskriegs,Angriffskriegs,MISC,,,de,28
russischen Armee,russischen Armee,MISC,,,de,28
Überfall auf die Ukraine,Überfall auf die Ukraine,MISC,,,de,27
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,27
Angriff auf die Ukraine,Angriff auf die Ukraine,MISC,,,de,27
Russischer Angriffskrieg,Russischer Angriffskrieg,MISC,,,de,26
Leopard 2,Leopard 2,MISC,,,de,25
Hamburger,Hamburger,MISC,,,de-DE,24
Euro,Euro,MISC,,,de,24
amerikanische,amerikanische,MISC,,,de,24
Leopard-Panzern,Leopard-Panzern,MISC,1.0999999999999999,1.5,de,23
Ukraine-Invasion Tag,Ukraine-Invasion Tag,MISC,,,de,23
russische Angriffskrieg,russische Angriffskrieg,MISC,,,de,22
soziale,soziale,MISC,,,de,22
Alarm,Alarm,MISC,,,de,22
Liveblog zum Krieg in der Ukraine,Liveblog zum Krieg in der Ukraine,MISC,,,de,22
Britischer,Britischer,MISC,,,de,21
französischen,französischen,MISC,,,de,21
Ukrainern,Ukrainern,MISC,,,de,21
Zweiten Weltkrieg,Zweiten Weltkrieg,MISC,,,de,21
türkische,türkische,MISC,,,de,21
Weihnachtsfest,Weihnachtsfest,MISC,,,de,21
Kriegstag,Kriegstag,MISC,,,de,20
Strompreis,Strompreis,MISC,,,de,20
Russlands Angriffskrieg,Russlands Angriffskrieg,MISC,,,de,20
amerikanischen,amerikanischen,MISC,,,de,20
DAX,DAX,MISC,,,de,19
LNG-Terminals,LNG-Terminals,MISC,0.95,0.0,de,19
russisch,russisch,MISC,,,de,18
Bitcoin,Bitcoin,MISC,,,de,18
Leopard-2-Panzer,Leopard-2-Panzer,MISC,,,de,18
Deutscher,Deutscher,MISC,,,de,18
Strompreisbremse,Strompreisbremse,MISC,-3.581364595565021e-18,0.016129032258064516,de,18
iranischen,iranischen,MISC,,,de,17
Nacht in der Ukraine,Nacht in der Ukraine,MISC,,,de,17
