,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,0.0625,0.03333333333333333,de,60
SPD,SPD,ORG,0.13793103448275862,0.0,de,29
EU-Kommission,EU-Kommission,ORG,0.10499999999999998,0.0,de,20
Uniper,Uniper,ORG,-0.1875,0.1875,de,16
Gazprom,Gazprom,ORG,-0.15333333333333332,0.0,de,15
Bundestag,Bundestag,ORG,0.1,0.0,de,13
SPIEGEL,SPIEGEL,ORG,0.525,0.0,de,12
LNG,LNG,ORG,0.11666666666666665,0.08333333333333333,de,12
FDP,FDP,ORG,0.05454545454545456,0.18181818181818182,de,11
WELT,WELT,ORG,0.265,0.1,de,10
Grüne,Grüne,ORG,0.10000000000000002,0.0,de,10
E-Paper,E-Paper,ORG,0.7000000000000001,0.0,de,9
Russland,Russland,ORG,0.0875,0.125,de,8
Bundesnetzagentur,Bundesnetzagentur,ORG,0.07500000000000001,0.0,de,8
Kommission,Kommission,ORG,0.175,0.0,de,8
BASF,BASF,ORG,0.42857142857142855,0.0,de,7
Eon,Eon,ORG,-0.2857142857142857,0.0,de,7
Ukraine:,Ukraine:,ORG,-0.2857142857142857,0.07142857142857142,de,7
CSU,CSU,ORG,-0.042857142857142864,0.0,de,7
Ukraine,Ukraine,ORG,-0.5714285714285714,0.0,de,7
FOCUS,FOCUS,ORG,-0.19166666666666665,0.0,de,6
SPD-Chef,SPD-Chef,ORG,0.2333333333333333,0.0,de,6
EZB,EZB,ORG,-0.19166666666666665,0.0,de,6
E-Control,E-Control,ORG,0.3499999999999999,0.0,de,6
AKW,AKW,ORG,0.11666666666666665,0.3333333333333333,de,6
SPD-Chef Klingbeil,SPD-Chef Klingbeil,ORG,0.0,0.0,de,6
Bundesbank,Bundesbank,ORG,0.0,0.0,de,6
CDU,CDU,ORG,0.06666666666666665,0.0,de,6
Securing Energy for Europe,Securing Energy for Europe,ORG,-0.16666666666666666,0.0,de,6
Gazprom Germania,Gazprom Germania,ORG,-0.21666666666666667,0.0,de,6
Gasag,Gasag,ORG,0.13999999999999999,0.0,de,5
Europäische Union,Europäische Union,ORG,-0.4,0.0,de,5
RT DE.,RT DE.,ORG,0.06000000000000001,0.0,de,5
Europäischen Union,Europäischen Union,ORG,-0.6,0.0,de,5
…,…,ORG,0.0,0.0,de,5
EU-Staaten,EU-Staaten,ORG,-0.4,0.1,de,5
WirtschaftsWoche Online,WirtschaftsWoche Online,ORG,0.7,0.0,de,5
VNG,VNG,ORG,0.5249999999999999,0.0,de,4
Eurozone,Eurozone,ORG,0.0,0.25,de,4
Internationale Energieagentur,Internationale Energieagentur,ORG,0.0,0.0,de,4
Gewerkschaften,Gewerkschaften,ORG,0.2125,0.0,de,4
Katar,Katar,ORG,0.6,0.0,de,4
Berliner Morgenpost,Berliner Morgenpost,ORG,0.0,0.25,de-DE,4
Gewerkschaft,Gewerkschaft,ORG,-0.38749999999999996,0.0,de,4
Militär,Militär,ORG,0.5249999999999999,0.0,de,4
Partei,Partei,ORG,0.35,0.0,de,4
Gaspreisbremse,Gaspreisbremse,ORG,0.0,0.4,de,4
TotalEnergies,TotalEnergies,ORG,0.0,0.0,de,4
Europäischen Kommission,Europäischen Kommission,ORG,-0.7,0.0,de,4
Microsoft,Microsoft,ORG,0.175,0.0,de,4
EU-Länder,EU-Länder,ORG,0.175,0.0,de,4
EU-Ebene,EU-Ebene,ORG,0.0,0.0,de,3
Aldi Nord,Aldi Nord,ORG,0.6999999999999998,0.0,de,3
EU-Spitzen,EU-Spitzen,ORG,0.0,0.0,de,3
Mercedes-Benz,Mercedes-Benz,ORG,0.0,0.0,de,3
Arbeiterkammer,Arbeiterkammer,ORG,0.0,0.0,de,3
Vattenfall,Vattenfall,ORG,0.0,0.0,de,3
ÖVP,ÖVP,ORG,0.2333333333333333,0.0,de,3
Shell,Shell,ORG,0.0,0.0,de,3
IMK,IMK,ORG,-0.05000000000000001,0.0,de,3
EU-Energieminister,EU-Energieminister,ORG,0.0,0.0,de,3
Europäischen Zentralbank,Europäischen Zentralbank,ORG,0.0,0.0,de,3
AfD,AfD,ORG,0.6999999999999998,0.0,de,3
Umweltschützern.,Umweltschützern.,ORG,0.18333333333333332,0.0,de,3
AKW Saporischschja,AKW Saporischschja,ORG,0.0,0.0,de,3
DER SPIEGEL.,DER SPIEGEL.,ORG,0.2333333333333333,0.0,de,3
Ukraine.,Ukraine.,ORG,-0.3333333333333333,0.0,de,3
TIGAS,TIGAS,ORG,0.4666666666666666,0.0,de,3
Russland?,Russland?,ORG,0.0,0.0,de,2
Tarifpaket,Tarifpaket,ORG,0.0,0.0,de,2
"Foto: dpa)
","Foto: dpa)
",ORG,0.25,0.0,de,2
Lebensmitteleinzelhändler Aldi Nord,Lebensmitteleinzelhändler Aldi Nord,ORG,0.0,0.5,de,2
Pizzeria.,Pizzeria.,ORG,0.0,0.0,de,2
… Deutschland,… Deutschland,ORG,0.25,0.0,de,2
Erdgas: Wo,Erdgas: Wo,ORG,0.5,0.25,de,2
Euro-Zone,Euro-Zone,ORG,0.0,0.0,de,2
Energiepreiskrise,Energiepreiskrise,ORG,0.35,0.0,de,2
EU-Gipfel.,EU-Gipfel.,ORG,0.0,0.0,de,2
Entega,Entega,ORG,0.0,0.0,de,2
Zentrum der Strafmaßnahmen,Zentrum der Strafmaßnahmen,ORG,-0.35,0.0,de,2
Ukraine-Krieg,Ukraine-Krieg,ORG,0.0,0.0,de,2
Potsdam-Institut für Klimafolgenforschung,Potsdam-Institut für Klimafolgenforschung,ORG,0.0,0.0,de,2
PIK,PIK,ORG,0.0,0.0,de,2
Elmos,Elmos,ORG,-0.5,0.0,de,2
Deutschland,Deutschland,ORG,0.425,0.0,de,2
US-Kampfjets,US-Kampfjets,ORG,0.0,0.0,de,2
Landesverband Erneuerbare Energien,Landesverband Erneuerbare Energien,ORG,0.15000000000000002,0.0,de,2
US-Verteidigungsminister,US-Verteidigungsminister,ORG,0.0,0.0,de,2
we…,we…,ORG,0.0,0.0,de,2
ntv.de,ntv.de,ORG,0.0,0.0,de,2
TotalEnergies Raffinerie Mitteldeutschland,TotalEnergies Raffinerie Mitteldeutschland,ORG,0.0,0.0,de,2
Deutschen Mieterbund…,Deutschen Mieterbund…,ORG,-1.0,0.0,de,2
NATO-Staaten,NATO-Staaten,ORG,0.0,0.0,de,2
Thyssenkrupp Steel,Thyssenkrupp Steel,ORG,0.0,0.0,de,2
Deutschen zum Energiesparen.,Deutschen zum Energiesparen.,ORG,0.0,0.0,de,2
Union.,Union.,ORG,-0.5,0.0,de,2
Nord-Stream-Pipelines: Die Sorge,Nord-Stream-Pipelines: Die Sorge,ORG,0.35,0.0,de,2
Ifo-Instituts,Ifo-Instituts,ORG,0.0,0.0,de,2
russische Armee,russische Armee,ORG,0.0,0.0,de,2
IG BCE,IG BCE,ORG,-0.35,0.0,de,2
Enercity,Enercity,ORG,0.0,0.0,de,2
Füllstands,Füllstands,ORG,0.0,0.0,de,2
Bundesnachrichtendienst,Bundesnachrichtendienst,ORG,-0.35,0.0,de,2
Nord Stream 1,Nord Stream 1,ORG,0.0,0.0,de,2
Energiekonzerns Vattenfall,Energiekonzerns Vattenfall,ORG,0.0,0.0,de,2
Senat,Senat,ORG,1.0,0.0,de,2
Hamburger China-Deal,Hamburger China-Deal,ORG,0.0,0.0,de,2
Fahrzeug-Export,Fahrzeug-Export,ORG,0.0,0.0,de,2
Bundeskanzleramt,Bundeskanzleramt,ORG,0.0,0.0,de,2
Angebotsengpässe,Angebotsengpässe,ORG,1.0,0.0,de,2
Widodo,Widodo,ORG,0.0,0.0,de,2
SEFE.,SEFE.,ORG,0.0,0.0,de,2
Gazprom.,Gazprom.,ORG,0.0,0.0,de,2
IAEA,IAEA,ORG,-0.5,0.0,de,2
Deutsche Bahn,Deutsche Bahn,ORG,-0.925,0.0,de,2
FDP-Chef,FDP-Chef,ORG,-0.15000000000000002,0.0,de,2
Grünen,Grünen,ORG,0.6499999999999999,0.0,de,2
Rote Armee,Rote Armee,ORG,0.0,0.0,de,2
britischen Marine,britischen Marine,ORG,-1.0,0.0,de,2
Nord Stream Pipelines,Nord Stream Pipelines,ORG,-0.7,0.0,de,2
OMV,OMV,ORG,0.35,0.0,de,2
Gesellschaft.,Gesellschaft.,ORG,0.0,0.0,de,2
