,phrase,label,sentiment,subjectivity,language,count
Wladimir Putin,Wladimir Putin,PER,0.021677679882525697,0.028193832599118944,de,454
Olaf Scholz,Olaf Scholz,PER,0.10311355311355308,0.035286935286935286,de,273
Wolodymyr Selenskyj,Wolodymyr Selenskyj,PER,-0.0024348422496570632,0.027160493827160494,de,243
Robert Habeck,Robert Habeck,PER,0.08103448275862067,0.09267241379310345,de,116
Xi Jinping,Xi Jinping,PER,0.07525252525252522,0.015151515151515152,de,99
Joe Biden,Joe Biden,PER,0.1346153846153846,0.038461538461538464,de,78
Annalena Baerbock,Annalena Baerbock,PER,-0.0009259259259259296,0.05026455026455026,de,63
Jewgeni Prigoschin,Jewgeni Prigoschin,PER,-0.25052910052910055,0.031746031746031744,de,63
Söldnergruppe Wagner,Söldnergruppe Wagner,PER,0.010470085470085468,0.02564102564102564,de,39
Emmanuel Macron,Emmanuel Macron,PER,0.09605263157894738,0.07894736842105263,de,38
Christian Lindner,Christian Lindner,PER,0.14861111111111114,0.05555555555555555,de,36
Sergej Lawrow,Sergej Lawrow,PER,-0.2,0.037037037037037035,de,27
Angela Merkel,Angela Merkel,PER,0.14519230769230768,0.07307692307692307,de,26
Greta Thunberg,Greta Thunberg,PER,0.055999999999999994,0.04,de,25
Evan Gershkovich,Evan Gershkovich,PER,-0.14,0.0,de,25
Wladimir Putins,Wladimir Putins,PER,-0.106,0.07333333333333333,de,25
Michael Kretschmer,Michael Kretschmer,PER,-0.2732638888888889,0.01875,de,24
Gerhard Schröder,Gerhard Schröder,PER,0.015217391304347825,0.021739130434782608,de,23
Boris Pistorius,Boris Pistorius,PER,0.09772727272727272,0.06818181818181818,de,22
Ursula von der Leyen,Ursula von der Leyen,PER,0.11666666666666667,0.0,de,21
Klaus Müller,Klaus Müller,PER,-0.014999999999999968,0.0,de,20
Andrij Melnyk,Andrij Melnyk,PER,0.3263157894736842,0.07894736842105263,de,19
Vitali Klitschko,Vitali Klitschko,PER,0.07368421052631578,0.0,de,19
Frank-Walter Steinmeier,Frank-Walter Steinmeier,PER,-0.03888888888888889,0.0,de,18
Christoph Heusgen,Christoph Heusgen,PER,-0.04375,0.125,de,16
Marie-Agnes Strack-Zimmermann,Marie-Agnes Strack-Zimmermann,PER,0.018750000000000003,0.0,de,16
Karl Lauterbach,Karl Lauterbach,PER,0.21875,0.0625,de,16
Alice Schwarzer,Alice Schwarzer,PER,-0.10624999999999998,0.0625,de,16
Markus Lanz,Markus Lanz,PER,0.018750000000000003,0.0,de,16
Rolf Mützenich,Rolf Mützenich,PER,0.07333333333333333,0.08333333333333333,de,15
Elon Musk,Elon Musk,PER,-0.25357142857142856,0.0,de,14
Carlo Masala,Carlo Masala,PER,0.07142857142857142,0.0,de,14
Alexander Lukaschenko,Alexander Lukaschenko,PER,-0.10357142857142858,0.07142857142857142,de,14
Christine Lagarde,Christine Lagarde,PER,0.40714285714285714,0.07142857142857142,de,14
Markus Söder,Markus Söder,PER,0.16428571428571428,0.0,de,14
Lars Klingbeil,Lars Klingbeil,PER,0.019230769230769232,0.019230769230769232,de,13
Dmytro Kuleba,Dmytro Kuleba,PER,-0.15384615384615385,0.0,de,13
Gabor Steingart,Gabor Steingart,PER,0.030769230769230764,0.0,de,13
Charles Michel,Charles Michel,PER,0.05384615384615384,0.0,de,13
nan nan,nan nan,PER,0.0,0.0,de,13
Ivan Krastev,Ivan Krastev,PER,0.0,0.0,de,12
Dmitri Peskow,Dmitri Peskow,PER,0.225,0.0,de,12
Antony Blinken,Antony Blinken,PER,0.11666666666666665,0.0,de,12
Anton Hofreiter,Anton Hofreiter,PER,-0.125,0.0,de,12
Monika Schnitzer,Monika Schnitzer,PER,-0.35833333333333334,0.0,de,12
Mateusz Morawiecki,Mateusz Morawiecki,PER,-0.05833333333333334,0.08333333333333333,de,12
Rishi Sunak,Rishi Sunak,PER,0.075,0.041666666666666664,de,12
Saskia Esken,Saskia Esken,PER,0.35,0.0,de,11
Marco Buschmann,Marco Buschmann,PER,0.06363636363636363,0.09090909090909091,de,11
Donald Trump,Donald Trump,PER,0.06363636363636363,0.09090909090909091,de,11
Thomas Bach,Thomas Bach,PER,0.21818181818181817,0.0,de,11
Sergej Schoigu,Sergej Schoigu,PER,0.031818181818181815,0.045454545454545456,de,11
Jens Stoltenberg,Jens Stoltenberg,PER,-0.06999999999999999,0.0,de,10
Wladimir Kara-Mursa,Wladimir Kara-Mursa,PER,-0.3,0.0,de,10
Maybrit Illner,Maybrit Illner,PER,-0.1,0.2,de,10
Markus Krebber,Markus Krebber,PER,0.0,0.0,de,9
Wang Yi,Wang Yi,PER,0.0,0.2222222222222222,de,9
Andrzej Duda,Andrzej Duda,PER,0.1111111111111111,0.0,de,9
Jürgen Habermas,Jürgen Habermas,PER,-0.2611111111111111,0.0,de,9
Lula da Silva,Lula da Silva,PER,0.375,0.0,de,8
Olexij Resnikow,Olexij Resnikow,PER,0.0,0.125,de,8
Josep Borrell,Josep Borrell,PER,-0.125,0.25,de,8
Bundesinnenministerin Nancy Faeser,Bundesinnenministerin Nancy Faeser,PER,-0.4625,0.0,de,8
Viktor Orbán,Viktor Orbán,PER,-0.16875,0.0625,de,8
António Guterres,António Guterres,PER,-0.4625,0.0,de,8
Oleksii Makeiev,Oleksii Makeiev,PER,0.13124999999999998,0.0625,de,8
Boris Johnson,Boris Johnson,PER,-0.05625000000000001,0.0,de,8
Viktor Orban,Viktor Orban,PER,0.125,0.125,de,8
Dmitri Medwedew,Dmitri Medwedew,PER,-0.23125,0.0,de,8
Qin Gang,Qin Gang,PER,-0.26249999999999996,0.0,de,8
Petr Pavel,Petr Pavel,PER,0.0,0.0,de,8
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,8
Luisa Neubauer,Luisa Neubauer,PER,0.0,0.0,de,7
Fatih Birol,Fatih Birol,PER,0.042857142857142864,0.0,de,7
Wagner-Chef Prigoschin,Wagner-Chef Prigoschin,PER,-0.042857142857142864,0.0,de,7
