,Wohlstand,Krieg,Angst,Energie
2022-01-31,0,2,0,1
2022-02-01,0,0,0,1
2022-02-02,0,1,1,1
2022-02-03,0,0,0,1
2022-02-06,0,1,0,1
2022-02-14,0,1,0,1
2022-02-16,0,1,0,0
2022-02-22,0,1,0,1
2022-03-09,0,0,0,1
2022-03-17,0,1,0,1
2022-03-23,0,1,0,1
2022-03-30,0,0,0,1
2022-04-04,0,0,0,1
2022-04-06,0,0,0,1
2022-04-13,0,1,0,1
2022-04-17,0,1,0,0
2022-04-19,0,0,0,1
2022-04-23,0,1,0,0
2022-04-28,0,1,0,1
2022-04-30,0,0,0,2
2022-05-05,0,0,0,2
2022-05-11,0,1,0,2
2022-05-25,0,1,0,2
2022-05-26,0,0,0,1
2022-06-09,0,1,0,1
2022-06-10,0,1,0,0
2022-06-13,0,1,0,0
2022-06-17,0,1,0,3
2022-06-19,0,0,0,1
2022-06-21,0,2,0,2
2022-06-24,0,1,0,2
2022-06-28,0,0,0,1
2022-06-30,0,0,0,0
2022-07-01,0,1,0,0
2022-07-03,0,1,0,0
2022-07-04,0,1,0,2
2022-07-06,0,1,0,1
2022-07-07,0,1,0,1
2022-07-08,0,0,0,1
2022-07-09,0,1,0,2
2022-07-10,0,0,0,2
2022-07-12,0,2,0,2
2022-07-13,0,0,0,5
2022-07-14,0,1,0,2
2022-07-15,0,0,0,2
2022-07-17,0,0,0,1
2022-07-18,0,0,0,2
2022-07-19,0,1,0,2
2022-07-20,0,0,0,0
2022-07-21,0,2,0,2
2022-07-22,0,2,0,2
2022-07-23,0,1,1,1
2022-07-24,0,0,0,3
2022-07-25,0,0,1,2
2022-07-31,0,0,0,1
2022-08-01,0,1,0,2
2022-08-02,0,0,0,2
2022-08-03,0,0,0,1
2022-08-04,0,0,0,1
2022-08-05,0,1,0,1
2022-08-06,0,0,0,1
2022-08-07,0,0,0,1
2022-08-10,0,1,1,1
2022-08-11,0,1,0,1
2022-08-14,0,0,0,2
2022-08-16,0,1,0,1
2022-08-17,0,1,0,1
2022-08-22,2,0,0,1
2022-08-23,0,1,0,1
2022-08-24,0,1,0,3
2022-08-27,0,0,0,2
2022-08-29,1,0,0,1
2022-08-31,0,0,0,1
2022-09-02,0,1,0,0
2022-09-05,0,0,0,1
2022-09-07,0,2,0,2
2022-09-09,0,1,0,0
2022-09-10,0,1,0,2
2022-09-12,0,0,0,1
2022-09-14,0,1,1,2
2022-09-19,0,0,0,2
2022-09-20,0,0,0,1
2022-09-21,0,1,0,2
2022-09-22,0,1,0,3
2022-09-24,0,1,0,0
2022-09-25,0,2,0,3
2022-09-26,1,2,0,8
2022-09-27,1,3,0,10
2022-09-28,0,5,0,13
2022-09-29,1,5,0,26
2022-09-30,0,3,1,9
2022-10-01,0,2,0,3
2022-10-02,1,3,0,11
2022-10-03,0,1,0,7
2022-10-04,1,7,0,8
2022-10-05,2,6,0,15
2022-10-06,0,6,1,22
2022-10-07,1,5,0,23
2022-10-08,0,3,1,9
2022-10-09,2,10,2,4
2022-10-10,1,9,2,44
2022-10-11,2,16,2,25
2022-10-12,6,21,1,29
2022-10-13,7,21,2,46
2022-10-14,4,17,0,10
2022-10-15,0,9,1,10
2022-10-16,7,5,1,9
2022-10-17,2,7,1,23
2022-10-18,4,18,2,35
2022-10-19,4,11,2,35
2022-10-20,3,38,1,57
2022-10-21,4,23,1,63
