keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Russland',de,Krieg,#b7b7b7,#8d8d8d,3,0.35208949388360633
'Gas',de,Energie,#29c014,#29c014,3,0.2828236683391096
'Krieg',de,Krieg,#616161,#8d8d8d,3,0.2825296592049187
'Ukraine',de,Krieg,#8c8c8c,#8d8d8d,3,0.2732202659007873
'Kämpfe',de,Krieg,#363636,#8d8d8d,3,0.2697236986471333
'Angst',de,Angst,#ca8307,#f59e09,3,0.2616944394477419
'Putin',de,Krieg,#8d8d8d,#8d8d8d,3,0.2609883722656355
'Windkraft',de,Energie,#20950f,#29c014,3,0.2474990671349637
'Solar',de,Energie,#32ea18,#29c014,3,0.2327664006954086
'Bedrohung',de,Angst,#ffa400,#f59e09,3,0.2277243187937041
'Armut',de,Wohlstand,#f6001d,#cc0018,3,0.2049015686067765
'Inflation',de,Wohlstand,#cc0018,#cc0018,3,0.2045986555028237
'Risiko',de,Angst,#aa6d00,#9f6805,3,0.2006970947840278
'Energiekosten',de,Energie,#0e3f07,#29c014,3,0.2002569578424845
'Hohe Kosten',de,Wohlstand,#76000e,#cc0018,3,0.1404883296121527
'Energie sparen',de,Energie,#176a0b,#29c014,3,0.12198733931855
'Gefährdung',de,Angst,#754c04,#f59e09,3,0.1163695331033362
'Geld sparen',de,Wohlstand,#f5001d,#cc0018,3,0.1158072492757445
'Existenzängste',de,Angst,#f59e09,#f59e09,1,0.0459760390289329
'Wohlstandsgefährdung',de,Wohlstand,#a00013,#cc0018,1,1.7597446709201155e-05
